year,region,driving_licenses,x,y,no_of_accidents,Dead,Injured
2017,Hail,22035,17.2072313962,42.6525807422,9379,265,773
2017,Northern Boarder,5280,23.2883307307,50.1478302439,11540,112,374
2016,Al-Baha,4614,27.400845724,41.4406960508,3618,185,1227
2017,Al-Qassim,6318,,,22405,319,1446
2017,Eastern Region,126816,,,81433,963,4073
2017,Tabouk,10232,,,11713,348,1243
2016,Northern Boarder,4958,,,13196,193,631
2016,Najran,2153,,,3235,173,706
2017,Makkah,142487,,,145541,1641,10623
2016,Makkah,136055,,,134838,2243,12383
2016,Madinah,24540,,,14475,822,4184
2016,Al-Qassim,9180,,,25664,397,1513
2016,Hail,54507,,,10199,299,932
2017,Najran,13825,,,3193,194,766
2017,Al-Jouf,8091,,,10469,240,862
2017,Madinah,36165,,,16070,580,2917
2016,Eastern Region,142307,,,101619,1113,4893
2017,Asir,39133,,,25245,828,2368
2016,Asir,41367,,,32684,983,2541
2017,Jazan,18345,,,22161,466,2207
2016,Jazan,11504,,,25873,514,2259
2017,Riyadh,495307,,,99925,1399,4540
2016,Riyadh,242851,,,141736,1430,4207
2017,Al-Baha,4131,,,1414,134,1007
2016,Al-Jouf,9371,,,10212,245,920
2016,Tabouk,13610,,,16031,434,1724
